,Zone,State,City,Type,Establishment Year,time needed to visit in hrs,Google review rating,Entrance Fee in INR,Airport with 50km Radius,Weekly Off,Significance,DSLR Allowed,Number of google review in lakhs,Best Time to visit,Name,Adult fee,children fee,foreigner fee
141,Central,Madhya Pradesh,Jabalpur,Waterfall,Unknown,1,4.5,0,No,None,Nature,Yes,0.01,Morning,Dhuandhar Falls,Free entry,Free entry,Free entry
142,Central,Madhya Pradesh,Pachmarhi,Waterfall,Unknown,1.5,4.6,15,No,None,Nature,Yes,0.065,Morning,Bee Falls,Adult (Indian citizens): ₹15 per person,For children it is 15,Foreigner: ₹250 per person
143,Central,Madhya Pradesh,Kanha,Wildlife Sanctuary,1955,3,4.5,100,No,None,Wildlife,Yes,0.1,Morning,Kanha National Park,Indians: INR 30 (entry fee) + vehicle and safari charges.,"For children between 5 and 12 years old, the fee is usually around INR 10-50",Indians: INR 30 (entry fee) + vehicle and safari charges.
144,Central,Madhya Pradesh,Bandhavgarh,National Park,1968,3,4.5,50,No,None,Wildlife,Yes,0.05,Morning,Bandhavgarh National Park,"Indians: INR 50 to INR 250 (entry fee, depending on zone).",Children above 5 years but under 12 years usually pay around INR 100-150 for entry to the park.,Foreigners: INR 500 (entry fee) + vehicle charges for safari​
145,Central,Madhya Pradesh,Orchha,Fort,1500,1.5,4.8,10,No,None,Historical,Yes,0.1,Afternoon,Orchha Fort,Indians: INR 250 (entry fee).,Children: INR 150.,Foreigners: INR 500​
146,Central,Madhya Pradesh,Mandu,Site,1500,1,3.9,50,No,None,Historical,Yes,0.03,Afternoon,Jahaz Mahal,Indians: INR 50 (entry fee).,(usually under 12 years old) typically have a reduced fee of around INR 10-20.,Foreigners: INR 200​
147,Central,Madhya Pradesh,Bhimbetka,Prehistoric Site,1958,2,4.6,25,No,None,Archaeological,Yes,0.07,Afternoon,Bhimbetka Rock Shelters,Indian adults: ₹50,"ypically, there is a reduced or free entry fee for children under a certain age (usually 5 years or younger).",Foreign tourists: ₹600​
148,Central,Madhya Pradesh,Amarkantak,Temple,1200,1,4.4,0,No,None,Religious,Yes,0.01,All,Narmada Udgam Temple,free to visit,free to visit,free to visit
149,Central,Madhya Pradesh,Chitrakoot,Waterfall,Unknown,1.5,4.4,0,No,None,Nature,Yes,0.1,Morning,Chitrakoot Falls,Free entry for all visitors. Charges may apply for local guides or parking.,Free entry for all visitors. Charges may apply for local guides or parking.,Free entry for all visitors. Charges may apply for local guides or parking.
150,Northern,Himachal Pradesh,Shimla,Scenic Point,Unknown,1,4.7,0,Yes,None,Recreational,Yes,0.03,Morning,The Ridge,Free entry,Free entry,Free entry
151,Northern,Himachal Pradesh,Manali,Valley,Unknown,2,4.1,0,No,None,Adventure,Yes,0.05,Morning,Solang Valley,"Free entry. However, activities like paragliding and skiing may have charges (typically ₹500-₹1,000 for paragliding)","Free entry. However, activities like paragliding and skiing may have charges (typically ₹500-₹1,000 for paragliding)","Free entry. However, activities like paragliding and skiing may have charges (typically ₹500-₹1,000 for paragliding)"
152,Northern,Himachal Pradesh,dalhousie,Temple,1959,1.5,4.7,0,Yes,None,Religious,No,0.15,All,Dalai Lama Temple,Free entry,Free entry,Free entry
153,Northern,Himachal Pradesh,Dalhousie,Lake,Unknown,1.5,4.5,0,No,None,Nature,Yes,0.1,Morning,Khajjiar Lake,Indian Adults: ₹20,₹10-₹20.,Foreigners: ₹50
154,Northern,Himachal Pradesh,Spiti Valley,Monastery,1100,1,4.8,0,No,None,Religious,Yes,0.025,Morning,Key Monastery,Free entry (but donations are appreciated).,Free entry (but donations are appreciated).,Free entry (but donations are appreciated).
155,Northern,Himachal Pradesh,Kullu,National Park,1984,3,4.5,50,No,None,Wildlife,Yes,0.2,All,Great Himalayan National Park,Indian Adults: ₹50,Indian Children: ₹30,Foreigners: ₹200
156,Northern,Himachal Pradesh,Chamba,Lake,Unknown,2,4.4,0,No,None,Recreational,Yes,0.01,Morning,Chamera Lake,"Free entry, but boat rides are available (charges vary)","Free entry, but boat rides are available (charges vary)","Free entry, but boat rides are available (charges vary)"
157,Northern,Himachal Pradesh,Kinnaur,Valley,Unknown,2,4.5,0,No,None,Nature,Yes,0.01,Morning,Sangla Valley,Free entry,Free entry,Free entry
158,Northern,Himachal Pradesh,Kangra,Fort,400,2,4.4,150,Yes,None,Historical,Yes,0.1,All,Kangra Fort,Indian Adults: ₹30,Indian Children: ₹10,Foreigners: ₹100
159,Northern,Himachal Pradesh,Palampur,Tea Plantation,1950,1.5,4.6,0,Yes,None,Agricultural,Yes,0.015,Morning,Tea Gardens,Free entry,Free entry,Free entry
160,Northern,Himachal Pradesh,Mandi,Lake,1400,1.5,4.6,0,No,None,Nature,Yes,0.01,Morning,Prashar Lake,Free entry,Free entry,Free entry
161,Northern,Himachal Pradesh,Bir Billing,Adventure Sport,2005,2,4.8,2500,No,None,Adventure,Yes,0.01,All,Paragliding Site,"Activity fees vary. Paragliding costs around ₹1,500–₹3,000 depending on the site.","Activity fees vary. Paragliding costs around ₹1,500–₹3,000 depending on the site.","Activity fees vary. Paragliding costs around ₹1,500–₹3,000 depending on the site."
162,Northern,Himachal Pradesh,McLeod Ganj,Trekking,Unknown,5,4.8,0,Yes,None,Adventure,Yes,0.01,Morning,Triund Trek,"Free entry. Trekking permits are free but required. However, camp sites and guided tours may have fees (₹500-₹1,500).","Free entry. Trekking permits are free but required. However, camp sites and guided tours may have fees (₹500-₹1,500).","Free entry. Trekking permits are free but required. However, camp sites and guided tours may have fees (₹500-₹1,500)."
163,Northern,Himachal Pradesh,Manikaran,Gurudwara,1980,1,4.6,0,No,None,Religious,Yes,1.3,Morning,Manikaran Sahib,Free entry,Free entry,Free entry
164,Northern,Himachal Pradesh,Narkanda,Viewpoint,Unknown,2,4.5,0,Yes,None,Nature,Yes,1.1,All,Hatu Peak,Free entry. There might be additional charges for vehicle access.,Free entry. There might be additional charges for vehicle access.,Free entry. There might be additional charges for vehicle access.
165,Northern,Himachal Pradesh,Barot,Valley,Unknown,2,4.7,0,No,None,Nature,Yes,1.2,Morning,Barot Valley,Free entry,Free entry,Free entry
166,Northern,Himachal Pradesh,Shoja,Lake,Unknown,2.5,4.4,0,No,None,Nature,Yes,0.9,Morning,Serolsar Lake,"Free entry, but vehicle and parking charges may apply","Free entry, but vehicle and parking charges may apply","Free entry, but vehicle and parking charges may apply"
167,Northern,Himachal Pradesh,Kufri,Ski Resort,1975,5,3.8,1500,Yes,None,Recreational,Yes,0.1,All,Kufri Fun World,Indian Adults: ₹500–₹700 (depending on the package),Indian Children: ₹400–₹500,Foreigners: ₹700–₹900
168,Northern,Uttarakhand,Nainital,Lake,Unknown,1.5,4.2,0,Yes,None,Nature,Yes,0.01,Morning,Naini Lake,"Boat ride charges vary, typically ₹100-₹500 for a ride.","Boat ride charges vary, typically ₹100-₹500 for a ride.","Boat ride charges vary, typically ₹100-₹500 for a ride."
169,Northern,Uttarakhand,Rishikesh,Suspension Bridge,1939,1,4.4,0,Yes,None,Cultural,Yes,0.03,Morning,Laxman Jhula,Free entry. There may be charges for the nearby temples or activities like boat rides.,Free entry. There may be charges for the nearby temples or activities like boat rides.,Free entry. There may be charges for the nearby temples or activities like boat rides.
170,Northern,Uttarakhand,Haridwar,Ghat,Unknown,1,4.5,0,Yes,None,Religious,Yes,0.025,All,Har Ki Pauri,Free entry to the Ganga Ghat. You may need to pay for offerings or special prayers.,Free entry to the Ganga Ghat. You may need to pay for offerings or special prayers.,Free entry to the Ganga Ghat. You may need to pay for offerings or special prayers.
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
